temperature,humidity,moisture,soil,crop
40.0,80.0,59.99,clayey,cotton
25.85,62.32,48.82,red,cotton
30.61,66.36,42.09,red,barley
34.51,54.79,54.12,loamy,maize
29.66,43.74,43.31,red,paddy
31.75,46.82,37.35,red,maize
25.43,68.65,39.28,red,oil seeds
30.97,58.53,29.79,loamy,wheat
28.58,71.66,46.04,red,oil seeds
29.87,63.64,61.4,black,wheat
25.09,54.56,34.08,red,maize
29.76,45.13,30.91,red,cotton
31.38,69.36,35.4,black,tobacco
36.7,70.28,23.31,sandy,ground nuts
26.91,44.27,23.76,loamy,barley
30.83,53.08,47.02,black,oil seeds
31.98,55.89,57.6,red,barley
30.46,48.84,33.31,red,paddy
29.24,54.29,47.85,clayey,paddy
31.38,67.84,59.74,loamy,maize
29.08,54.19,61.72,clayey,maize
40.0,60.8,50.41,black,cotton
23.18,53.55,20.0,black,ground nuts
32.61,54.79,70.0,black,barley
36.12,72.17,33.4,sandy,paddy
23.88,57.05,35.25,loamy,barley
30.78,64.7,35.01,clayey,pulses
36.46,65.08,43.87,red,paddy
40.0,77.61,29.53,loamy,sugarcane
32.0,57.73,35.48,black,wheat
32.69,69.21,22.19,black,sugarcane
29.63,45.37,21.76,black,sugarcane
34.22,56.39,49.89,red,pulses
36.56,76.26,36.26,sandy,wheat
37.0,62.94,55.83,loamy,pulses
37.66,74.6,28.6,black,millets
36.42,75.12,46.56,sandy,ground nuts
29.92,50.41,62.32,clayey,ground nuts
31.96,49.13,52.38,loamy,maize
38.65,62.79,58.95,black,cotton
24.94,50.42,55.75,red,tobacco
26.11,52.09,44.94,black,pulses
39.68,75.02,51.69,clayey,barley
32.74,64.14,68.56,red,millets
25.3,50.31,45.77,loamy,tobacco
29.37,61.61,33.0,loamy,oil seeds
35.12,61.28,35.3,red,sugarcane
31.57,46.3,28.05,red,tobacco
38.0,61.23,26.32,black,wheat
36.29,71.0,56.12,black,barley
32.76,61.99,68.62,black,pulses
33.01,61.9,32.87,sandy,wheat
27.09,64.13,38.0,black,paddy
30.15,68.23,37.36,sandy,wheat
31.12,54.41,55.18,clayey,oil seeds
31.08,61.81,34.73,red,wheat
34.99,65.23,27.62,clayey,maize
28.29,46.16,41.47,black,millets
37.61,61.11,36.72,loamy,barley
36.02,69.03,54.45,sandy,barley
28.58,41.09,30.84,red,tobacco
24.6,52.29,30.92,black,tobacco
29.87,56.39,37.84,sandy,cotton
29.85,47.2,57.02,sandy,millets
26.12,63.44,63.43,loamy,millets
34.94,57.44,52.37,sandy,wheat
31.59,63.18,56.9,black,paddy
37.33,67.17,37.59,loamy,maize
24.02,45.09,67.89,loamy,tobacco
33.56,66.29,26.04,clayey,wheat
30.78,50.3,52.95,clayey,barley
32.39,66.19,63.37,clayey,ground nuts
31.26,67.75,26.57,black,barley
38.04,69.01,42.8,red,ground nuts
32.73,62.66,34.5,red,paddy
27.79,60.14,41.16,clayey,paddy
32.24,55.75,45.85,black,pulses
31.18,60.59,20.77,black,pulses
34.04,65.18,55.33,black,ground nuts
28.92,49.12,20.0,black,pulses
36.08,74.86,38.71,red,wheat
32.57,62.47,37.05,sandy,millets
32.53,51.27,44.71,sandy,ground nuts
25.19,60.71,52.06,red,paddy
28.66,47.45,44.04,loamy,wheat
24.59,58.22,64.12,sandy,paddy
25.71,59.93,51.81,clayey,tobacco
28.24,54.62,35.02,clayey,wheat
33.95,61.0,45.29,clayey,maize
33.88,59.02,35.32,clayey,sugarcane
30.87,58.93,70.0,clayey,oil seeds
33.25,69.66,51.62,sandy,maize
30.25,72.59,57.4,black,pulses
31.59,67.65,56.8,sandy,oil seeds
37.68,62.61,54.72,black,ground nuts
30.23,70.15,26.2,red,oil seeds
30.29,58.63,51.24,loamy,ground nuts
27.47,53.06,40.0,red,paddy
29.05,52.0,53.16,black,cotton
22.27,58.06,38.54,black,tobacco
26.4,57.87,57.72,sandy,cotton
24.38,52.09,25.67,loamy,sugarcane
33.24,51.28,65.32,black,pulses
27.41,52.54,41.48,black,barley
32.64,77.53,39.18,clayey,maize
27.61,71.93,41.84,red,barley
36.71,76.2,24.17,sandy,barley
31.72,71.9,41.1,clayey,oil seeds
38.33,70.83,45.85,loamy,cotton
31.36,44.29,43.74,sandy,pulses
31.97,57.04,39.26,loamy,maize
30.86,66.38,42.56,clayey,sugarcane
29.81,63.42,20.0,loamy,millets
30.18,68.42,36.95,clayey,barley
25.23,62.86,38.43,red,cotton
37.04,68.38,51.4,red,maize
26.14,52.36,40.32,clayey,paddy
25.71,49.13,33.26,sandy,sugarcane
30.12,69.25,21.43,loamy,paddy
27.34,63.01,48.83,black,cotton
30.29,69.44,58.64,clayey,pulses
33.67,68.27,57.75,clayey,millets
34.7,66.76,69.2,loamy,sugarcane
34.38,60.73,50.97,red,oil seeds
33.48,62.18,48.6,black,wheat
33.6,60.98,68.08,clayey,tobacco
31.74,62.32,52.3,loamy,sugarcane
27.11,49.05,43.91,black,oil seeds
29.56,70.11,44.74,sandy,wheat
33.71,58.93,43.88,loamy,barley
21.93,44.5,63.49,red,maize
33.53,60.05,37.18,red,maize
25.31,51.61,33.05,red,ground nuts
31.78,65.4,52.23,sandy,ground nuts
34.68,58.89,27.43,sandy,pulses
39.75,60.73,38.94,clayey,millets
22.69,51.37,61.27,sandy,oil seeds
24.06,40.2,34.24,black,wheat
38.25,74.83,48.66,clayey,sugarcane
40.0,64.51,51.07,red,millets
35.73,71.25,45.65,clayey,millets
31.33,52.44,48.45,black,maize
32.64,71.49,45.45,black,maize
24.83,51.23,46.97,red,millets
30.57,73.76,66.01,loamy,oil seeds
27.61,52.18,38.91,black,tobacco
25.3,51.45,24.59,sandy,barley
31.71,58.44,35.47,loamy,pulses
25.28,55.82,32.12,clayey,barley
29.97,58.25,31.86,loamy,sugarcane
32.38,58.5,45.02,red,wheat
30.69,59.44,51.07,sandy,sugarcane
33.71,71.14,43.81,clayey,millets
26.91,52.52,30.81,black,cotton
29.32,51.48,40.11,red,tobacco
25.99,55.37,65.56,sandy,wheat
33.65,66.5,65.99,black,wheat
29.23,55.19,29.27,red,wheat
25.5,65.19,38.34,loamy,oil seeds
26.92,56.83,44.88,loamy,wheat
35.51,70.33,59.14,loamy,paddy
27.1,61.29,41.14,sandy,tobacco
32.66,55.25,20.0,red,paddy
35.8,55.37,57.55,clayey,maize
29.38,54.47,52.56,sandy,maize
36.66,76.82,39.74,sandy,millets
32.53,60.02,29.35,clayey,wheat
32.66,74.93,33.56,black,pulses
34.63,63.8,24.01,black,maize
24.84,62.63,36.65,black,oil seeds
29.0,44.56,33.96,red,millets
35.26,53.82,24.93,red,ground nuts
33.42,55.5,64.41,black,paddy
28.04,55.51,49.43,sandy,wheat
34.9,61.86,35.47,clayey,millets
22.34,53.62,38.61,red,wheat
28.11,47.2,36.8,clayey,paddy
34.35,66.79,51.52,black,wheat
28.74,48.61,35.72,red,tobacco
22.56,50.58,29.13,loamy,oil seeds
26.95,50.63,43.0,sandy,barley
26.39,54.79,46.15,sandy,wheat
30.13,72.21,35.94,red,ground nuts
35.71,67.62,25.16,red,pulses
28.88,60.85,28.57,clayey,barley
27.05,44.74,56.64,red,sugarcane
29.34,44.01,41.14,loamy,tobacco
39.33,67.44,37.85,loamy,sugarcane
28.53,59.01,60.57,clayey,ground nuts
23.12,58.63,37.49,black,cotton
31.53,58.95,51.37,clayey,paddy
33.55,60.65,58.59,red,wheat
30.15,64.35,67.45,black,pulses
39.81,63.65,63.69,red,tobacco
34.51,52.14,70.0,clayey,sugarcane
35.66,54.44,42.29,loamy,sugarcane
25.65,62.92,28.49,sandy,barley
28.51,44.09,28.38,black,ground nuts
30.09,54.43,60.02,red,maize
22.27,61.81,43.11,red,paddy
38.38,65.51,46.26,black,maize
32.61,50.77,63.48,red,ground nuts
26.99,47.9,45.66,red,paddy
29.77,63.41,50.3,black,millets
28.27,59.38,45.0,loamy,ground nuts
33.5,53.07,46.85,red,cotton
37.95,68.37,55.82,loamy,pulses
25.06,64.02,38.39,black,ground nuts
26.79,62.91,25.01,loamy,sugarcane
26.72,52.56,31.72,sandy,paddy
22.39,61.19,37.56,black,millets
30.98,72.26,70.0,sandy,wheat
30.37,74.96,45.96,sandy,maize
36.58,61.79,40.55,loamy,maize
26.45,60.78,50.52,sandy,wheat
25.6,52.6,54.46,red,maize
35.57,72.13,33.41,red,millets
33.06,60.37,69.48,sandy,millets
29.39,53.28,40.12,loamy,pulses
28.21,59.37,42.81,red,paddy
35.57,60.63,45.71,black,sugarcane
37.32,76.39,48.4,loamy,cotton
40.0,56.27,40.77,loamy,millets
39.82,70.94,30.3,loamy,pulses
38.99,74.78,27.58,black,paddy
27.9,58.51,31.93,red,millets
33.88,68.15,42.03,sandy,sugarcane
40.0,71.79,58.99,black,sugarcane
30.18,53.72,36.61,red,barley
32.53,56.27,29.85,clayey,pulses
33.72,50.47,44.08,black,pulses
31.86,51.97,62.52,black,tobacco
34.28,52.14,44.07,black,tobacco
25.94,60.8,62.34,clayey,ground nuts
26.63,56.66,45.46,red,pulses
35.09,63.88,46.21,loamy,cotton
32.66,59.08,54.63,red,millets
34.76,67.48,24.8,loamy,tobacco
31.21,56.6,34.03,sandy,wheat
34.72,67.85,69.81,loamy,barley
23.38,55.92,50.56,clayey,wheat
30.14,55.49,45.37,clayey,oil seeds
29.71,50.93,41.83,sandy,wheat
30.88,51.0,46.08,red,millets
31.28,68.41,27.47,black,oil seeds
32.92,77.29,48.08,clayey,paddy
25.87,69.73,28.7,clayey,wheat
30.53,63.85,56.3,sandy,barley
37.03,69.99,42.75,clayey,paddy
37.38,70.59,66.29,sandy,maize
28.44,55.23,33.64,red,ground nuts
24.57,49.59,48.59,sandy,ground nuts
25.23,48.23,21.3,black,maize
30.98,60.86,33.37,red,oil seeds
28.45,55.92,48.02,black,cotton
22.21,43.72,21.74,clayey,oil seeds
36.2,55.53,54.66,clayey,sugarcane
32.48,64.01,50.17,loamy,tobacco
29.67,60.0,70.0,red,tobacco
30.62,59.17,45.5,sandy,ground nuts
29.51,55.64,28.32,loamy,tobacco
29.64,54.26,30.97,black,cotton
30.83,64.19,23.01,clayey,pulses
34.15,50.64,39.17,loamy,millets
32.54,52.1,29.86,sandy,paddy
35.15,65.46,50.44,red,pulses
32.88,70.34,29.01,loamy,ground nuts
32.26,57.08,42.58,clayey,ground nuts
28.94,60.34,31.18,loamy,millets
24.61,43.14,27.28,red,oil seeds
32.63,71.17,55.93,loamy,millets
31.18,72.57,46.74,loamy,maize
23.69,57.9,39.61,sandy,cotton
32.48,53.65,28.91,clayey,tobacco
28.7,53.21,40.31,sandy,ground nuts
32.8,71.66,44.08,red,oil seeds
37.65,60.86,24.45,black,maize
26.1,50.4,41.08,black,oil seeds
31.22,74.54,61.36,sandy,maize
36.78,69.9,38.86,red,ground nuts
38.75,58.17,52.93,loamy,maize
29.13,47.06,44.06,red,pulses
28.65,62.64,41.6,loamy,pulses
20.54,40.79,56.58,clayey,cotton
27.19,62.12,35.74,red,cotton
29.74,53.77,40.06,red,tobacco
33.98,67.67,62.06,black,oil seeds
28.91,67.6,39.3,red,pulses
26.09,50.03,60.84,sandy,millets
29.22,54.96,70.0,black,ground nuts
27.68,66.84,28.69,black,oil seeds
21.94,46.3,27.7,loamy,sugarcane
32.27,54.7,59.44,sandy,ground nuts
29.59,47.26,67.15,loamy,ground nuts
38.97,61.93,48.53,black,tobacco
40.0,63.37,45.26,sandy,maize
32.81,73.39,41.77,sandy,pulses
36.48,66.13,30.41,black,cotton
31.25,67.15,42.57,sandy,tobacco
24.83,57.76,31.75,sandy,ground nuts
29.72,53.18,42.19,sandy,cotton
27.26,43.94,42.1,loamy,paddy
34.34,55.85,27.98,black,wheat
23.7,41.13,58.8,sandy,ground nuts
33.32,71.88,37.86,loamy,sugarcane
27.34,55.87,43.75,clayey,pulses
22.71,49.95,45.22,loamy,tobacco
29.55,59.76,58.15,clayey,wheat
33.39,53.49,50.08,sandy,tobacco
31.64,68.77,39.39,sandy,ground nuts
23.18,46.72,29.53,black,paddy
24.94,66.7,66.09,sandy,pulses
21.74,44.09,59.39,sandy,barley
30.28,63.74,54.26,loamy,pulses
23.22,49.73,51.54,clayey,pulses
29.69,47.64,46.87,clayey,ground nuts
35.79,55.43,70.0,black,maize
38.68,77.89,35.76,loamy,maize
34.07,60.31,40.04,red,barley
29.16,66.79,59.72,sandy,ground nuts
36.5,69.77,62.08,loamy,ground nuts
27.05,63.35,58.77,red,paddy
31.49,71.13,61.76,black,barley
30.84,59.19,45.38,loamy,wheat
34.3,52.7,60.28,sandy,wheat
31.13,73.3,29.78,loamy,barley
28.87,58.01,36.28,sandy,tobacco
36.02,63.58,41.22,red,tobacco
35.93,59.27,55.76,sandy,oil seeds
32.15,54.75,62.62,loamy,cotton
23.42,58.34,36.7,clayey,millets
24.23,54.91,32.3,loamy,maize
28.51,48.44,45.73,black,cotton
32.06,55.34,56.8,sandy,paddy
31.18,54.19,43.3,loamy,tobacco
33.59,54.6,51.9,loamy,barley
30.36,59.8,70.0,red,millets
28.79,64.17,68.25,sandy,tobacco
28.74,44.89,43.99,black,cotton
32.33,48.88,31.39,black,sugarcane
39.12,61.14,51.1,red,millets
34.71,54.08,46.09,loamy,millets
30.34,64.88,34.89,sandy,barley
27.59,52.12,42.52,red,tobacco
35.14,69.39,45.5,black,wheat
29.61,55.37,42.37,clayey,barley
27.8,61.15,38.19,black,tobacco
39.34,73.55,37.74,sandy,barley
25.49,58.9,27.75,sandy,maize
30.35,62.68,46.39,black,cotton
29.31,65.11,40.63,black,tobacco
30.84,76.53,34.0,loamy,cotton
34.51,54.23,48.09,loamy,sugarcane
29.97,59.98,41.02,loamy,tobacco
29.54,46.05,47.43,clayey,maize
29.6,65.96,27.64,sandy,maize
32.18,62.78,23.55,loamy,pulses
32.29,62.31,33.23,sandy,tobacco
36.35,69.02,43.17,loamy,sugarcane
37.33,59.48,53.07,clayey,wheat
38.06,52.11,41.53,clayey,ground nuts
29.52,68.99,56.83,sandy,paddy
40.0,78.86,52.13,clayey,sugarcane
22.07,51.67,51.97,clayey,tobacco
30.67,50.16,40.76,black,cotton
25.98,62.89,61.12,red,oil seeds
29.25,53.85,33.95,red,maize
26.51,60.56,35.77,loamy,barley
26.7,52.31,61.77,clayey,sugarcane
25.95,62.86,51.74,clayey,oil seeds
24.2,60.2,34.14,loamy,oil seeds
23.0,52.82,37.28,clayey,millets
31.77,57.58,49.46,sandy,sugarcane
30.35,73.19,41.73,sandy,ground nuts
32.72,56.31,41.59,sandy,paddy
32.17,56.59,62.96,clayey,oil seeds
29.6,58.17,40.56,red,millets
29.06,62.14,45.05,red,ground nuts
25.43,50.72,42.78,clayey,sugarcane
31.93,61.7,61.0,loamy,pulses
38.76,72.35,28.4,black,pulses
22.95,47.87,42.49,red,sugarcane
35.14,69.77,31.06,sandy,ground nuts
22.81,48.89,28.47,loamy,maize
38.07,62.7,66.49,red,maize
24.17,62.74,42.08,black,wheat
29.03,66.58,27.4,loamy,ground nuts
37.98,57.42,48.64,loamy,pulses
24.2,63.32,30.41,red,sugarcane
39.47,72.83,59.41,sandy,tobacco
32.72,59.26,37.37,loamy,millets
23.61,40.7,39.71,clayey,paddy
24.04,65.32,45.42,clayey,ground nuts
26.11,65.75,70.0,red,tobacco
32.02,53.18,50.78,sandy,cotton
29.17,59.16,55.51,loamy,wheat
28.74,54.8,58.08,black,millets
28.05,53.77,30.81,loamy,pulses
30.96,57.8,42.72,red,sugarcane
32.12,70.24,29.28,red,barley
31.52,56.11,29.79,clayey,pulses
39.41,63.5,41.68,black,oil seeds
24.4,59.68,29.94,clayey,paddy
37.61,56.44,61.31,sandy,maize
26.71,59.61,29.75,sandy,barley
35.3,65.91,61.45,black,pulses
26.25,48.11,47.36,clayey,oil seeds
23.41,47.11,60.88,sandy,maize
26.86,58.4,49.47,loamy,millets
30.4,64.62,29.5,clayey,pulses
31.84,63.65,43.05,clayey,paddy
35.66,67.28,53.18,loamy,paddy
32.88,53.21,20.0,black,paddy
27.68,46.99,22.43,black,barley
31.06,58.96,32.69,sandy,millets
29.43,42.86,23.41,clayey,cotton
33.89,55.98,45.78,sandy,millets
37.59,73.0,62.01,red,ground nuts
27.06,58.24,46.67,sandy,sugarcane
32.94,59.38,30.73,black,paddy
